AnumOfParts,Asound,BnumOfParts,Bsound,CongColorFullRec,CongPartFullRec,Congruency,Correct,HTAdur,HTBdur,LTAdur,LTBdur,LargerArea,LargerFullArea,LargerPart,PartsDistance,PartsRatio,RelatioToHalf,acc,accuracy,allowed_responses,average_response_time,avg_rt,background,canvas_backend,cols,column_order,compensation,coordinates,correct,correct_response,count_TaskFrac,count_TaskSize,count_TrainFrac,count_TrainSize,count_Train_sequence,count_Trial_Sequence,count_Welcome,count_blank,count_correctFDBK,count_endAll,count_endTA,count_experiment,count_fracInst,count_genInst,count_logger,count_pausa,count_response,count_sizeInst,count_sketchpad,count_sound1,count_sound2,count_wrongFDBK,cycles,description,duration,fade_in,flush,flush_keyboard,font_bold,font_family,font_italic,font_size,foreground,form_text,form_title,height,item,keyboard_backend,maxStartA,maxStartB,mouse_backend,ok_text,order,pan,pitch,repeat,repeat_cycle,response,response_correctFDBK,response_pausa,response_response,response_sound1,response_sound2,response_time,response_time_correctFDBK,response_time_pausa,response_time_response,response_time_sound1,response_time_sound2,response_time_wrongFDBK,response_wrongFDBK,rows,sample,sampler_backend,start,stop_after,subject_nr,subject_parity,synth_backend,time_TaskFrac,time_TaskSize,time_TrainFrac,time_TrainSize,time_Train_sequence,time_Trial_Sequence,time_Welcome,time_blank,time_correctFDBK,time_endAll,time_endTA,time_experiment,time_fracInst,time_genInst,time_logger,time_pausa,time_response,time_sizeInst,time_sketchpad,time_sound1,time_sound2,time_wrongFDBK,timeout,title,transparent_variables,volume,width
"6","15A_6-8-part.wav","3","15B_3-8-part.wav","Incongruent","Incongruent","Congruent","a","1208","928","1610","2474","Left","Right","Left","3","2,000","Cross","100","100","NA","1075","1075","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","402","1546","xpyriment","NA","NA","NA","NA","NA","0","a","NA","NA","a","NA","NA","1075","NA","NA","1075","NA","NA","NA","NA","NA","NA","legacy","experiment","NA","999","odd","legacy","NA","NA","NA","NA","NA","NA","4722","24071","NA","NA","NA","NA","NA","8431","NA","24970","26658","13228","23912","24171","25420","NA","NA","Arava2Sound","no","NA","1024"
"2","10A_2-8-part.wav","4","10B_4-8-part.wav","congruent","Incongruent","Incongruent","a","898","620","3594","1238","Left","Left","Right","2","2,000","Include","100","100","NA","902","902","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","1","NA","0","1","1","0","1","0","0","0","1","1","1","0","1","1","1","1","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","2696","618","xpyriment","NA","NA","NA","NA","NA","0","a","space","NA","a","NA","NA","729","3205","NA","729","NA","NA","NA","NA","NA","NA","legacy","experiment","NA","999","odd","legacy","NA","NA","NA","NA","NA","NA","4722","31345","27779","NA","30995","NA","NA","8431","NA","33237","34302","13228","31186","31445","33687","NA","NA","Arava2Sound","no","NA","1024"
"2","4A_2-8-part.wav","3","4B_3-8-part.wav","congruent","Incongruent","Incongruent","a","838","556","3348","1484","Left","Left","Right","1","1,500","Smaller","66.6666666667","66.6666666667","NA","1067","1067","black","xpyriment","NA","NA","0","relative","0","0","0","0","0","0","2","NA","0","2","2","0","2","0","0","0","2","2","2","0","2","2","2","2","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","2510","928","xpyriment","NA","NA","NA","NA","NA","0","l","space","NA","l","NA","NA","1399","1238","NA","1399","NA","NA","NA","NA","NA","NA","legacy","experiment","NA","999","odd","legacy","NA","NA","NA","NA","NA","NA","4722","36663","35049","NA","36296","NA","NA","8431","NA","38426","39601","13228","36489","36763","38876","NA","NA","Arava2Sound","no","NA","1024"
"5","3A_5-8-part.wav","4","3B_4-8-part.wav","congruent","Congruent","Congruent","a","1312","1032","2098","2062","Left","Left","Left","1","1,250","Include","50","50","NA","877","877","black","xpyriment","NA","NA","0","relative","0","0","0","0","0","0","3","NA","0","3","3","0","3","0","0","0","3","3","3","0","3","3","3","3","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","786","1030","xpyriment","NA","NA","NA","NA","NA","0","l","space","NA","l","NA","NA","305","1238","NA","305","NA","NA","1631","space","NA","NA","legacy","experiment","NA","999","odd","legacy","NA","NA","NA","NA","NA","NA","4722","42999","35049","NA","42655","NA","NA","8431","NA","44134","45611","13228","42840","43100","44584","41014","NA","Arava2Sound","no","NA","1024"
"4","12A_4-8-part.wav","7","12B_7-8-part.wav","congruent","Incongruent","Incongruent","a","1462","1182","2922","1350","Left","Left","Right","3","1,750","Include","40","40","NA","802","802","black","xpyriment","NA","NA","0","relative","0","0","0","0","0","0","4","NA","0","4","4","0","4","0","0","0","4","4","4","0","4","4","4","4","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","1460","168","xpyriment","NA","NA","NA","NA","NA","0","l","space","NA","l","NA","NA","502","1238","NA","502","NA","NA","3581","space","NA","NA","legacy","experiment","NA","999","odd","legacy","NA","NA","NA","NA","NA","NA","4722","49869","35049","NA","49521","NA","NA","8431","NA","51422","52547","13228","49710","49969","51872","45931","NA","Arava2Sound","no","NA","1024"
"2","16A_2-8-part.wav","5","16B_5-8-part.wav","congruent","Incongruent","Incongruent","a","944","662","3772","1060","Left","Left","Right","3","2,500","Cross","33.3333333333","33.3333333333","NA","940","940","black","xpyriment","NA","NA","0","relative","0","0","0","0","0","0","5","NA","0","5","5","0","5","0","0","0","5","5","5","0","5","5","5","5","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","2828","398","xpyriment","NA","NA","NA","NA","NA","0","l","space","NA","l","NA","NA","1634","1238","NA","1634","NA","NA","3469","space","NA","NA","legacy","experiment","NA","999","odd","legacy","NA","NA","NA","NA","NA","NA","4722","56886","35049","NA","56541","NA","NA","8431","NA","58858","59848","13228","56727","56986","59308","53063","NA","Arava2Sound","no","NA","1024"
"3","8A_3-8-part.wav","5","8B_5-8-part.wav","congruent","Incongruent","Incongruent","a","1150","870","3066","1392","Left","Left","Right","2","1,667","Cross","42.8571428571","42.8571428571","NA","890","890","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","6","NA","0","6","6","0","6","0","0","0","6","6","6","0","6","6","6","6","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","1916","522","xpyriment","NA","NA","NA","NA","NA","0","a","space","NA","a","NA","NA","591","1238","NA","591","NA","NA","1811","space","NA","NA","legacy","experiment","NA","999","odd","legacy","NA","NA","NA","NA","NA","NA","4722","63663","35049","NA","63316","NA","NA","8431","NA","65277","66393","13228","63503","63763","65727","61496","NA","Arava2Sound","no","NA","1024"
"4","11A_4-8-part.wav","2","11B_2-8-part.wav","Incongruent","Incongruent","Congruent","a","900","618","1798","2474","Left","Right","Left","2","2,000","Include","50","50","NA","929","929","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","7","NA","0","7","7","0","7","0","0","0","7","7","7","0","7","7","7","7","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","898","1856","xpyriment","NA","NA","NA","NA","NA","0","a","space","NA","a","NA","NA","1197","4743","NA","1197","NA","NA","1811","space","NA","NA","legacy","experiment","NA","999","odd","legacy","NA","NA","NA","NA","NA","NA","4722","72096","67004","NA","71757","NA","NA","8431","NA","73093","74783","13228","71937","72196","73543","61496","NA","Arava2Sound","no","NA","1024"
"6","19A_6-8-part.wav","5","19B_5-8-part.wav","congruent","Incongruent","Incongruent","l","1266","1546","1688","2472","Right","Right","Left","1","1,200","Larger","55.5555555556","55.5555555556","NA","891","891","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","8","NA","0","8","8","0","8","0","0","0","8","8","8","0","8","8","8","8","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","422","926","xpyriment","NA","NA","NA","NA","NA","0","l","space","NA","l","NA","NA","592","1982","NA","592","NA","NA","1811","space","NA","NA","legacy","experiment","NA","999","odd","legacy","NA","NA","NA","NA","NA","NA","4722","78329","75993","NA","77984","NA","NA","8431","NA","79272","80941","13228","78170","78429","79722","61496","NA","Arava2Sound","no","NA","1024"
"3","14A_3-8-part.wav","6","14B_6-8-part.wav","congruent","Incongruent","Incongruent","a","1208","928","3222","1238","Left","Left","Right","3","2,000","Cross","50","50","NA","985","985","black","xpyriment","NA","NA","0","relative","0","0","0","0","0","0","9","NA","0","9","9","0","9","0","0","0","9","9","9","0","9","9","9","9","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","2014","310","xpyriment","NA","NA","NA","NA","NA","0","l","space","NA","l","NA","NA","1828","1328","NA","1828","NA","NA","1811","space","NA","NA","legacy","experiment","NA","999","odd","legacy","NA","NA","NA","NA","NA","NA","4722","83228","81552","NA","82890","NA","NA","8431","NA","84927","85991","13228","83069","83328","85377","61496","NA","Arava2Sound","no","NA","1024"
