AnumOfParts,Asound,BnumOfParts,Bsound,CongColorFullRec,CongPartFullRec,Congruency,Correct,HTAdur,HTBdur,LTAdur,LTBdur,LargerArea,LargerFullArea,LargerPart,PartsDistance,PartsRatio,RelatioToHalf,acc,accuracy,allowed_responses,average_response_time,avg_rt,background,canvas_backend,cols,column_order,compensation,coordinates,correct,correct_response,count_TaskFrac,count_TaskSize,count_TrainFrac,count_TrainSize,count_Train_sequence,count_Trial_Sequence,count_Welcome,count_blank,count_correctFDBK,count_endAll,count_endTA,count_experiment,count_fracInst,count_genInst,count_logger,count_pausa,count_rF,count_response,count_sizeInst,count_sketchpad,count_sound1,count_sound2,count_startFrac,count_startSize,count_wF,count_wrongFDBK,cycles,description,duration,fade_in,flush,flush_keyboard,font_bold,font_family,font_italic,font_size,foreground,form_text,form_title,height,item,keyboard_backend,maxStartA,maxStartB,mouse_backend,ok_text,order,pan,pitch,repeat,repeat_cycle,response,response_pausa,response_response,response_sound1,response_sound2,response_time,response_time_pausa,response_time_response,response_time_sound1,response_time_sound2,rows,sample,sampler_backend,start,stop_after,subject_nr,subject_parity,synth_backend,time_TaskFrac,time_TaskSize,time_TrainFrac,time_TrainSize,time_Train_sequence,time_Trial_Sequence,time_Welcome,time_blank,time_correctFDBK,time_endAll,time_endTA,time_experiment,time_fracInst,time_genInst,time_logger,time_pausa,time_rF,time_response,time_sizeInst,time_sketchpad,time_sound1,time_sound2,time_startFrac,time_startSize,time_wF,time_wrongFDBK,timeout,title,transparent_variables,volume,width
"6","55A_6-8-part.wav","5","55B_5-8-part.wav","congruent","Incongruent","Incongruent","l","1266","1826","1688","2920","Right","Right","Left","1","1,200","Larger","100","100","NA","855","855","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","NA","0","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","422","1094","xpyriment","NA","NA","NA","NA","NA","0","l","NA","l","NA","NA","855","NA","855","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10889958","NA","NA","NA","NA","NA","10884435","NA","10890901","NA","10892833","10886499","10889794","10890058","10891379","NA","NA","NA","NA","NA","Arava2Sound","no","NA","1024"
"5","54A_5-8-part.wav","6","54B_6-8-part.wav","congruent","Congruent","Congruent","l","1266","1826","2024","2434","Right","Right","Right","1","1,200","Larger","50","50","NA","1776","1776","black","xpyriment","NA","NA","0","relative","0","0","0","0","0","0","1","NA","0","1","1","0","1","0","0","0","1","1","NA","1","0","1","1","1","0","0","NA","1","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","758","608","xpyriment","NA","NA","NA","NA","NA","0","a","NA","a","NA","NA","2698","NA","2698","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10894952","10893720","NA","10894029","NA","NA","10884435","NA","10896053","NA","10897716","10886499","10894794","10895052","10896503","NA","NA","NA","NA","NA","Arava2Sound","no","NA","1024"
"5","35A_5-8-part.wav","2","35B_2-8-part.wav","congruent","Incongruent","Incongruent","l","662","944","1060","3772","Right","Right","Left","3","2,500","Cross","66.6666666667","66.6666666667","NA","1333","1333","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","2","NA","0","2","2","0","2","0","0","0","2","2","NA","2","0","2","2","2","0","0","NA","2","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","398","2828","xpyriment","NA","NA","NA","NA","NA","0","l","NA","l","NA","NA","448","NA","448","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10901879","10893720","NA","10900742","NA","NA","10884435","NA","10902514","NA","10904823","10886499","10901717","10901979","10902964","NA","NA","NA","10900434","NA","Arava2Sound","no","NA","1024"
"5","89A_5-8-part.wav","2","89B_2-8-part.wav","Incongruent","Incongruent","Congruent","a","1502","664","2404","2652","Left","Right","Left","3","2,500","Cross","75","75","NA","1186","1186","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","3","NA","0","3","3","0","3","0","0","0","3","3","NA","3","0","3","3","3","0","0","NA","3","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","902","1988","xpyriment","NA","NA","NA","NA","NA","0","a","NA","a","NA","NA","746","NA","746","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10906808","10905289","NA","10905597","NA","NA","10884435","NA","10908099","NA","10909862","10886499","10906649","10906908","10908550","NA","NA","NA","10900434","NA","Arava2Sound","no","NA","1024"
"2","88A_2-8-part.wav","5","88B_5-8-part.wav","congruent","Incongruent","Incongruent","a","1504","662","6012","1060","Left","Left","Right","3","2,500","Cross","80","80","NA","1236","1236","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","4","NA","0","4","4","0","4","0","0","0","4","4","NA","4","0","4","4","4","0","0","NA","4","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","4508","398","xpyriment","NA","NA","NA","NA","NA","0","a","NA","a","NA","NA","1433","NA","1433","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10911802","10910623","NA","10910931","NA","NA","10884435","NA","10914886","NA","10915863","10886499","10911643","10911902","10915336","NA","NA","NA","10900434","NA","Arava2Sound","no","NA","1024"
"5","36A_5-8-part.wav","6","36B_6-8-part.wav","congruent","Incongruent","Incongruent","a","1826","1266","2920","1688","Left","Left","Right","1","1,200","Larger","66.6666666667","66.6666666667","NA","1132","1132","black","xpyriment","NA","NA","0","relative","0","0","0","0","0","0","5","NA","0","5","5","0","5","0","0","0","5","5","NA","5","0","5","5","5","0","0","NA","5","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","1094","422","xpyriment","NA","NA","NA","NA","NA","0","l","NA","l","NA","NA","613","NA","613","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10918465","10917313","NA","10917621","NA","NA","10884435","NA","10920016","NA","10921309","10886499","10918300","10918565","10920466","NA","NA","NA","10900434","NA","Arava2Sound","no","NA","1024"
"5","17A_5-8-part.wav","2","17B_2-8-part.wav","Incongruent","Incongruent","Congruent","a","942","664","1508","2652","Left","Right","Left","3","2,500","Cross","71.4285714286","71.4285714286","NA","1049","1049","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","6","NA","0","6","6","0","6","0","0","0","6","6","NA","6","0","6","6","6","0","0","NA","6","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","566","1988","xpyriment","NA","NA","NA","NA","NA","0","a","NA","a","NA","NA","552","NA","552","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10923185","10917313","NA","10922247","NA","NA","10884435","NA","10924032","NA","10925790","10886499","10923015","10923285","10924482","NA","NA","NA","10921939","NA","Arava2Sound","no","NA","1024"
"5","71A_5-8-part.wav","2","71B_2-8-part.wav","congruent","Incongruent","Incongruent","l","662","1224","1060","4892","Right","Right","Left","3","2,500","Cross","75","75","NA","1007","1007","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","7","NA","0","7","7","0","7","0","0","0","7","7","NA","7","0","7","7","7","0","0","NA","7","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","398","3668","xpyriment","NA","NA","NA","NA","NA","0","l","NA","l","NA","NA","718","NA","718","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10927599","10926364","NA","10926673","NA","NA","10884435","NA","10928228","NA","10931111","10886499","10927440","10927699","10928678","NA","NA","NA","10921939","NA","Arava2Sound","no","NA","1024"
"5","18A_5-8-part.wav","6","18B_6-8-part.wav","congruent","Congruent","Congruent","l","1266","1546","2024","2060","Right","Right","Right","1","1,200","Larger","66.6666666667","66.6666666667","NA","1024","1024","black","xpyriment","NA","NA","0","relative","0","0","0","0","0","0","8","NA","0","8","8","0","8","0","0","0","8","8","NA","8","0","8","8","8","0","0","NA","8","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","758","514","xpyriment","NA","NA","NA","NA","NA","0","a","NA","a","NA","NA","1157","NA","1157","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10933075","10931848","NA","10932156","NA","NA","10884435","NA","10934184","NA","10935647","10886499","10932914","10933185","10934634","NA","NA","NA","10921939","NA","Arava2Sound","no","NA","1024"
"5","90A_5-8-part.wav","6","90B_6-8-part.wav","congruent","Congruent","Congruent","l","1266","2106","2024","2808","Right","Right","Right","1","1,200","Larger","70","70","NA","981","981","black","xpyriment","NA","NA","0","relative","1","1","0","0","0","0","9","NA","0","9","9","0","9","0","0","0","9","9","NA","9","0","9","9","9","0","0","NA","9","NA","Logs experimental data","NA","NA","NA","NA","no","mono","no","18","white","NA","NA","768","NA","legacy","758","702","xpyriment","NA","NA","NA","NA","NA","0","l","NA","l","NA","NA","599","NA","599","NA","NA","NA","NA","legacy","experiment","NA","0","even","legacy","NA","NA","NA","NA","NA","NA","10881919","10937983","10931848","NA","10937132","NA","NA","10884435","NA","10939069","NA","10940893","10886499","10937825","10938083","10939519","NA","NA","NA","10936824","NA","Arava2Sound","no","NA","1024"
